DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES;
BOL;BOG;149;901;3821111;
BOL;BOG;12;65;278238;
BOL;BOG;38;178;756549;
BOL;BOG;65;419;1779893;
BOL;BOG;39;138;586826;
BOL;BOG;32;139;591404;
BOL;BOG;90;371;1574096;
BOL;BOG;239;752;3189225;
BOL;BOG;33;113;481914;
BOL;BOG;245;703;2983260;
BOL;BOG;101;577;2447130;
BOL;BOG;319;789;3347123;
BOL;BOG;48;181;769775;
BOL;BOG;266;878;3724592;
BOL;BOG;11;102;435499;
BOL;BOG;74;302;1282930;
BOL;BOG;59;594;2518385;
BOL;BOG;4;19;83251;
BOL;BOG;38;163;691017;
BOL;BOG;20;36;155989;
BOL;BOG;85400;12943;53333184;
BOL;BOG;58404;10426;42963397;
BOL;BOG;319;713;3069074;
BOL;BOG;1535;3484;15022027;
BOL;BOG;149;266;1152376;
BOL;BOG;298;620;2718571;
BOL;BOG;902;2444;10301428;
BOL;BOG;650;1217;5174076;
BOL;BOG;28;63;272467;
BOL;BOG;110;212;911534;
BOL;BOG;164;309;1335168;
BOL;BOG;13;24;103495;
BOL;BOG;175;402;1732179;
BOL;BOG;4;11;47389;
BOL;BOG;180;2438;10536193;
BOL;BOG;110;1197;5049613;
BOL;BOG;397;37375;163274173;
BOL;BOG;1049;142869;580010828;
BOL;BOG;135;15572;64167860;
BOL;BOG;1729;90465;368271430;
BOL;BOG;280;22356;92121446;
BOL;BOG;100;3903;15821825;
BOL;BOG;43;2191;8882801;
BOL;BOG;852;20665;83896974;
BOL;BOG;146;5342;22677212;
BOL;BOG;70;3407;14449278;
BOL;BOG;77;20232;82016483;
BOL;BOG;19;1103;4692776;
BOL;BOG;2132;48127;203198045;
BOL;BOG;2816;99775;419625840;
BOL;BOG;1648;79751;334247952;
BOL;BOG;2209;83294;350297249;
BOL;BOG;969;6528;27619452;
BOL;BOG;220;27000;117703799;
BOL;BOG;77;175;767665;
BOL;BOG;4;8;34512;
BOL;BOG;95;494;2006408;
BOL;BOG;99;634;2579484;
BOL;BOG;285;1381;5601566;
BOL;BOG;5;14;58374;
BOL;BOG;270;1105;4547109;
BOL;BOG;98;425;1724104;
